itrial,dataset,muh_fun,method,coverage,width
0,superconduct,random_forest,naive,0.5266666666666666,30.590000000000003
0,superconduct,random_forest,jackknife,0.8022222222222222,70.63
0,superconduct,random_forest,jackknife+,0.8377777777777777,72.37499999999999
0,superconduct,random_forest,jackknife-mm,0.9833333333333333,98.29475000000001
0,superconduct,random_forest,CV+,0.8666666666666667,74.898
0,superconduct,random_forest,split,0.8577777777777778,74.77000000000001
0,superconduct,random_forest,weighted_split_oracle,0.9666666666666667,95.84
0,superconduct,random_forest,weighted_split_lr,0.9588888888888889,95.83999999999999
0,superconduct,random_forest,weighted_split_rf,0.9466666666666667,85.78999999999999
0,superconduct,random_forest,JAW_oracle,0.9622222222222222,94.33524999999997
0,superconduct,random_forest,JAW_lr,0.9644444444444444,91.50500000000004
0,superconduct,random_forest,JAW_rf,0.9744444444444444,96.05799999999999
0,superconduct,random_forest,JAWmm_oracle,0.9955555555555555,115.94475000000003
0,superconduct,random_forest,JAWmm_lr,0.9955555555555555,115.94475000000003
0,superconduct,random_forest,JAWmm_rf,0.9955555555555555,116.00475
1,superconduct,random_forest,naive,0.45555555555555555,22.02000000000001
1,superconduct,random_forest,jackknife,0.8544444444444445,59.45
1,superconduct,random_forest,jackknife+,0.8855555555555555,62.172500000000014
1,superconduct,random_forest,jackknife-mm,0.98,86.38875000000002
1,superconduct,random_forest,CV+,0.8544444444444445,64.23875000000001
1,superconduct,random_forest,split,0.91,81.41
1,superconduct,random_forest,weighted_split_oracle,0.9733333333333334,112.13999999999997
1,superconduct,random_forest,weighted_split_lr,0.9833333333333333,112.13999999999999
1,superconduct,random_forest,weighted_split_rf,0.9877777777777778,126.33999999999997
1,superconduct,random_forest,JAW_oracle,0.96,84.80499999999998
1,superconduct,random_forest,JAW_lr,0.9755555555555555,91.22
1,superconduct,random_forest,JAW_rf,0.9766666666666667,89.04
1,superconduct,random_forest,JAWmm_oracle,0.9966666666666667,109.51875000000001
1,superconduct,random_forest,JAWmm_lr,0.9966666666666667,109.51875000000001
