itrial,dataset,muh_fun,method,coverage,width
0,airfoil,random_forest,naive,0.5548733691481197,4.645500000000027
0,airfoil,random_forest,jackknife,0.9079048349961627,11.79415000000003
0,airfoil,random_forest,jackknife+,0.9347659247889486,12.185849999999931
0,airfoil,random_forest,jackknife-mm,0.9762087490406753,16.29850000000006
0,airfoil,random_forest,CV+,0.920951650038373,11.838125000000034
0,airfoil,random_forest,split,0.8549501151189562,11.463400000000036
0,airfoil,random_forest,JAW,0.9378357636224098,12.295200000000051
1,airfoil,random_forest,naive,0.5763622409823485,4.910200000000003
1,airfoil,random_forest,jackknife,0.8971603990790483,12.024299999999954
1,airfoil,random_forest,jackknife+,0.9178818112049117,12.408699999999982
1,airfoil,random_forest,jackknife-mm,0.9785111281657713,16.692899999999952
1,airfoil,random_forest,CV+,0.9363008442056792,13.44135
1,airfoil,random_forest,split,0.8795088257866462,13.290999999999968
1,airfoil,random_forest,JAW,0.9194167306216423,12.519950000000009
2,airfoil,random_forest,naive,0.5786646201074443,4.530500000000046
2,airfoil,random_forest,jackknife,0.9278587874136608,11.953500000000048
2,airfoil,random_forest,jackknife+,0.9363008442056792,12.400699999999887
2,airfoil,random_forest,jackknife-mm,0.9946277820414429,16.78722500000002
2,airfoil,random_forest,CV+,0.9386032233307752,12.606800000000021
2,airfoil,random_forest,split,0.908672294704528,14.85465000000002
2,airfoil,random_forest,JAW,0.9386032233307752,12.492799999999946
3,airfoil,random_forest,naive,0.5725249424405219,4.9106000000000165
3,airfoil,random_forest,jackknife,0.9094397544128934,11.535000000000053
3,airfoil,random_forest,jackknife+,0.9278587874136608,11.889900000000026
3,airfoil,random_forest,jackknife-mm,0.9723714504988488,15.94070000000012
3,airfoil,random_forest,CV+,0.9378357636224098,12.831199999999967
3,airfoil,random_forest,split,0.9025326170376056,14.241600000000005
3,airfoil,random_forest,JAW,0.9293937068303914,11.972550000000012
4,airfoil,random_forest,naive,0.5364543361473523,4.241600000000005
4,airfoil,random_forest,jackknife,0.8933231005372217,10.85310000000004
4,airfoil,random_forest,jackknife+,0.9125095932463546,10.962174999999988
4,airfoil,random_forest,jackknife-mm,0.9785111281657713,15.68330000000006
4,airfoil,random_forest,CV+,0.9125095932463546,11.260224999999977
4,airfoil,random_forest,split,0.886415963161934,13.28400000000002
4,airfoil,random_forest,JAW,0.9140445126630852,11.04209999999999
5,airfoil,random_forest,naive,0.5671527244819647,4.843999999999966
5,airfoil,random_forest,jackknife,0.9332310053722179,12.743900000000053
5,airfoil,random_forest,jackknife+,0.9447429009976976,13.177699999999959
5,airfoil,random_forest,jackknife-mm,0.9915579432079816,17.396150000000063
5,airfoil,random_forest,CV+,0.9493476592478894,13.18585000000003
5,airfoil,random_forest,split,0.9293937068303914,14.004100000000022
5,airfoil,random_forest,JAW,0.9470452801227935,13.290350000000004
6,airfoil,random_forest,naive,0.5211051419800461,4.857300000000038
6,airfoil,random_forest,jackknife,0.8587874136607828,11.348900000000043
6,airfoil,random_forest,jackknife+,0.896392939370683,11.42267500000004
6,airfoil,random_forest,jackknife-mm,0.985418265541059,15.936200000000028
6,airfoil,random_forest,CV+,0.884113584036838,11.257850000000076
6,airfoil,random_forest,split,0.8442056792018419,12.560850000000073
6,airfoil,random_forest,JAW,0.9002302379125096,11.529350000000008
7,airfoil,random_forest,naive,0.5947812739831159,5.292200000000065
7,airfoil,random_forest,jackknife,0.9293937068303914,11.611899999999935
7,airfoil,random_forest,jackknife+,0.9447429009976976,12.483749999999915
7,airfoil,random_forest,jackknife-mm,0.9938603223330775,16.350449999999952
7,airfoil,random_forest,CV+,0.9501151189562548,13.06914999999998
7,airfoil,random_forest,split,0.9217191097467383,13.976799999999997
7,airfoil,random_forest,JAW,0.9470452801227935,12.624250000000018
8,airfoil,random_forest,naive,0.5640828856485035,4.771399999999971
8,airfoil,random_forest,jackknife,0.9186492709132771,12.290599999999984
8,airfoil,random_forest,jackknife+,0.9409056024558711,12.685050000000075
8,airfoil,random_forest,jackknife-mm,0.990023023791251,16.873999999999995
8,airfoil,random_forest,CV+,0.943207981580967,12.875850000000014
8,airfoil,random_forest,split,0.9339984650805833,15.439899999999938
8,airfoil,random_forest,JAW,0.943207981580967,12.790349999999961
9,airfoil,random_forest,naive,0.6032233307751343,4.91670000000002
9,airfoil,random_forest,jackknife,0.9255564082885649,11.621999999999957
9,airfoil,random_forest,jackknife+,0.9263238679969301,11.65317499999999
9,airfoil,random_forest,jackknife-mm,0.9877206446661551,16.056449999999927
9,airfoil,random_forest,CV+,0.930928626247122,11.824774999999974
9,airfoil,random_forest,split,0.8649270913277053,11.549199999999956
9,airfoil,random_forest,JAW,0.9293937068303914,11.772150000000025
10,airfoil,random_forest,naive,0.6308518802762855,5.113100000000088
10,airfoil,random_forest,jackknife,0.9669992325402916,13.192800000000005
10,airfoil,random_forest,jackknife+,0.9493476592478894,12.89404999999995
10,airfoil,random_forest,jackknife-mm,0.9884881043745203,17.751800000000017
10,airfoil,random_forest,CV+,0.9501151189562548,12.521550000000005
10,airfoil,random_forest,split,0.9232540291634689,15.39399999999992
10,airfoil,random_forest,JAW,0.9524174980813507,13.08159999999998
11,airfoil,random_forest,naive,0.5901765157329241,5.010400000000061
11,airfoil,random_forest,jackknife,0.8718342287029931,10.638400000000047
11,airfoil,random_forest,jackknife+,0.9109746738296239,11.543425000000042
11,airfoil,random_forest,jackknife-mm,0.9662317728319263,15.04490000000007
11,airfoil,random_forest,CV+,0.9033000767459708,11.712799999999945
11,airfoil,random_forest,split,0.8933231005372217,13.175100000000043
11,airfoil,random_forest,JAW,0.9125095932463546,11.661050000000003
12,airfoil,random_forest,naive,0.6262471220260937,5.373400000000032
12,airfoil,random_forest,jackknife,0.8795088257866462,10.246500000000026
12,airfoil,random_forest,jackknife+,0.9117421335379893,11.175750000000008
12,airfoil,random_forest,jackknife-mm,0.9762087490406753,15.044550000000015
12,airfoil,random_forest,CV+,0.9240214888718342,11.758449999999954
12,airfoil,random_forest,split,0.9148119723714505,15.857050000000015
12,airfoil,random_forest,JAW,0.9171143514965464,11.297825000000103
13,airfoil,random_forest,naive,0.6070606293169608,5.1077999999999975
13,airfoil,random_forest,jackknife,0.9324635456638527,12.481049999999982
13,airfoil,random_forest,jackknife+,0.9324635456638527,12.049649999999943
13,airfoil,random_forest,jackknife-mm,0.9877206446661551,17.05849999999998
13,airfoil,random_forest,CV+,0.9355333844973139,12.429750000000027
13,airfoil,random_forest,split,0.9117421335379893,14.825199999999995
13,airfoil,random_forest,JAW,0.9393706830391404,12.248725000000064
14,airfoil,random_forest,naive,0.5871066768994628,5.038399999999967
14,airfoil,random_forest,jackknife,0.8948580199539524,10.59110000000004
14,airfoil,random_forest,jackknife+,0.9178818112049117,11.002700000000047
14,airfoil,random_forest,jackknife-mm,0.9808135072908672,14.928350000000052
14,airfoil,random_forest,CV+,0.9386032233307752,12.699399999999997
14,airfoil,random_forest,split,0.9009976976208749,13.622399999999942
14,airfoil,random_forest,JAW,0.9194167306216423,11.115100000000027
15,airfoil,random_forest,naive,0.5617805065234075,4.509100000000103
15,airfoil,random_forest,jackknife,0.9370683039140445,12.530400000000014
15,airfoil,random_forest,jackknife+,0.9501151189562548,12.891800000000046
15,airfoil,random_forest,jackknife-mm,0.9884881043745203,17.26647499999997
15,airfoil,random_forest,CV+,0.9462778204144282,12.857150000000004
15,airfoil,random_forest,split,0.9447429009976976,15.633100000000042
15,airfoil,random_forest,JAW,0.9508825786646201,13.051099999999963
16,airfoil,random_forest,naive,0.5894090560245587,4.7128999999999905
16,airfoil,random_forest,jackknife,0.8825786646201075,10.78279999999998
16,airfoil,random_forest,jackknife+,0.8971603990790483,10.976999999999975
16,airfoil,random_forest,jackknife-mm,0.9785111281657713,15.48909999999998
16,airfoil,random_forest,CV+,0.9232540291634689,12.185649999999953
16,airfoil,random_forest,split,0.8956254796623178,13.785799999999995
16,airfoil,random_forest,JAW,0.9017651573292402,11.075225000000046
17,airfoil,random_forest,naive,0.5901765157329241,5.294800000000066
17,airfoil,random_forest,jackknife,0.9094397544128934,11.637999999999948
17,airfoil,random_forest,jackknife+,0.9247889485801996,11.90014999999994
17,airfoil,random_forest,jackknife-mm,0.9815809669992326,16.280649999999966
17,airfoil,random_forest,CV+,0.9409056024558711,12.945900000000009
17,airfoil,random_forest,split,0.9040675364543361,14.175699999999978
17,airfoil,random_forest,JAW,0.9286262471220261,11.9983
18,airfoil,random_forest,naive,0.5970836531082118,5.089499999999987
18,airfoil,random_forest,jackknife,0.9132770529547198,11.716600000000057
18,airfoil,random_forest,jackknife+,0.9324635456638527,12.398400000000052
18,airfoil,random_forest,jackknife-mm,0.9731389102072141,16.28915000000002
18,airfoil,random_forest,CV+,0.9386032233307752,12.913000000000125
18,airfoil,random_forest,split,0.8902532617037605,13.27340000000001
18,airfoil,random_forest,JAW,0.9339984650805833,12.514549999999957
19,airfoil,random_forest,naive,0.5602455871066769,4.5890999999999735
19,airfoil,random_forest,jackknife,0.9401381427475057,12.168199999999956
19,airfoil,random_forest,jackknife+,0.9409056024558711,12.318100000000015
19,airfoil,random_forest,jackknife-mm,0.9946277820414429,16.883849999999924
19,airfoil,random_forest,CV+,0.955487336914812,12.835174999999907
19,airfoil,random_forest,split,0.9163468917881811,14.658799999999985
19,airfoil,random_forest,JAW,0.943207981580967,12.434800000000024
20,airfoil,random_forest,naive,0.5448963929393706,4.613099999999974
20,airfoil,random_forest,jackknife,0.8979278587874137,12.942599999999999
20,airfoil,random_forest,jackknife+,0.906369915579432,12.975950000000012
20,airfoil,random_forest,jackknife-mm,0.9662317728319263,17.02149999999999
20,airfoil,random_forest,CV+,0.8810437452033768,11.722874999999988
20,airfoil,random_forest,split,0.9201841903300076,15.977499999999964
20,airfoil,random_forest,JAW,0.9071373752877974,13.115250000000032
21,airfoil,random_forest,naive,0.5510360706062931,5.035899999999998
21,airfoil,random_forest,jackknife,0.8564850345356869,10.989799999999974
21,airfoil,random_forest,jackknife+,0.8795088257866462,11.30680000000001
21,airfoil,random_forest,jackknife-mm,0.9570222563315426,15.309749999999937
21,airfoil,random_forest,CV+,0.8910207214121258,12.038599999999974
21,airfoil,random_forest,split,0.8495778971603991,13.410699999999963
21,airfoil,random_forest,JAW,0.8810437452033768,11.42949999999999
22,airfoil,random_forest,naive,0.5794320798158097,5.129300000000029
22,airfoil,random_forest,jackknife,0.8917881811204912,11.015699999999981
22,airfoil,random_forest,jackknife+,0.9186492709132771,11.48747499999996
22,airfoil,random_forest,jackknife-mm,0.9723714504988488,15.75824999999999
22,airfoil,random_forest,CV+,0.9255564082885649,12.138775000000024
22,airfoil,random_forest,split,0.8772064466615502,12.668399999999991
22,airfoil,random_forest,JAW,0.9194167306216423,11.562425000000033
23,airfoil,random_forest,naive,0.5901765157329241,4.665199999999913
23,airfoil,random_forest,jackknife,0.9178818112049117,11.622799999999955
23,airfoil,random_forest,jackknife+,0.9278587874136608,11.751999999999995
23,airfoil,random_forest,jackknife-mm,0.9877206446661551,16.2521
23,airfoil,random_forest,CV+,0.9201841903300076,12.023750000000007
23,airfoil,random_forest,split,0.8626247122026094,11.564100000000053
23,airfoil,random_forest,JAW,0.9278587874136608,11.8501499999999
24,airfoil,random_forest,naive,0.6155026861089793,5.2188499999999465
24,airfoil,random_forest,jackknife,0.9424405218726016,12.953100000000035
24,airfoil,random_forest,jackknife+,0.9355333844973139,12.908000000000001
24,airfoil,random_forest,jackknife-mm,0.9838833461243285,17.599100000000064
24,airfoil,random_forest,CV+,0.9386032233307752,12.981549999999999
24,airfoil,random_forest,split,0.8925556408288565,13.509899999999988
24,airfoil,random_forest,JAW,0.9370683039140445,13.027450000000044
25,airfoil,random_forest,naive,0.5471987720644667,4.164699999999982
25,airfoil,random_forest,jackknife,0.9033000767459708,11.768850000000043
25,airfoil,random_forest,jackknife+,0.9293937068303914,11.991274999999987
25,airfoil,random_forest,jackknife-mm,0.9869531849577897,16.204825000000056
25,airfoil,random_forest,CV+,0.9324635456638527,12.12964999999997
25,airfoil,random_forest,split,0.920951650038373,13.2286
25,airfoil,random_forest,JAW,0.9339984650805833,12.122899999999944
26,airfoil,random_forest,naive,0.4896392939370683,4.37390000000002
26,airfoil,random_forest,jackknife,0.8687643898695319,10.740499999999997
26,airfoil,random_forest,jackknife+,0.8833461243284727,11.019674999999978
26,airfoil,random_forest,jackknife-mm,0.9593246354566385,14.871649999999988
26,airfoil,random_forest,CV+,0.8979278587874137,11.913650000000004
26,airfoil,random_forest,split,0.8726016884113584,13.266699999999986
26,airfoil,random_forest,JAW,0.8871834228702993,11.113900000000001
27,airfoil,random_forest,naive,0.5625479662317728,4.6954000000000065
27,airfoil,random_forest,jackknife,0.9171143514965464,11.388199999999983
27,airfoil,random_forest,jackknife+,0.9194167306216423,11.694975000000014
27,airfoil,random_forest,jackknife-mm,0.9800460475825019,16.23879999999997
27,airfoil,random_forest,CV+,0.9194167306216423,11.836899999999972
27,airfoil,random_forest,split,0.9148119723714505,14.181400000000053
27,airfoil,random_forest,JAW,0.9247889485801996,11.795549999999977
28,airfoil,random_forest,naive,0.5249424405218726,4.864299999999986
28,airfoil,random_forest,jackknife,0.88871834228703,11.2543
28,airfoil,random_forest,jackknife+,0.9332310053722179,11.953325000000007
28,airfoil,random_forest,jackknife-mm,0.977743668457406,15.842250000000007
28,airfoil,random_forest,CV+,0.9378357636224098,12.330649999999935
28,airfoil,random_forest,split,0.8411358403683806,12.267499999999927
28,airfoil,random_forest,JAW,0.9355333844973139,12.054800000000029
29,airfoil,random_forest,naive,0.5970836531082118,5.203000000000031
29,airfoil,random_forest,jackknife,0.9125095932463546,12.432100000000048
29,airfoil,random_forest,jackknife+,0.9386032233307752,13.217450000000028
29,airfoil,random_forest,jackknife-mm,0.9869531849577897,17.009750000000068
29,airfoil,random_forest,CV+,0.9616270145817345,14.859200000000044
29,airfoil,random_forest,split,0.8833461243284727,14.19780000000003
29,airfoil,random_forest,JAW,0.943207981580967,13.401300000000006
30,airfoil,random_forest,naive,0.6108979278587874,5.4550000000000125
30,airfoil,random_forest,jackknife,0.9040675364543361,12.206900000000019
30,airfoil,random_forest,jackknife+,0.920951650038373,12.576599999999985
30,airfoil,random_forest,jackknife-mm,0.985418265541059,16.637150000000005
30,airfoil,random_forest,CV+,0.9324635456638527,13.037999999999997
30,airfoil,random_forest,split,0.8802762854950115,12.48769999999999
30,airfoil,random_forest,JAW,0.9278587874136608,12.700225000000074
31,airfoil,random_forest,naive,0.6001534919416731,4.949000000000041
31,airfoil,random_forest,jackknife,0.9270913277052955,11.868300000000033
31,airfoil,random_forest,jackknife+,0.9416730621642364,12.046299999999988
31,airfoil,random_forest,jackknife-mm,0.985418265541059,16.74672500000004
31,airfoil,random_forest,CV+,0.9470452801227935,12.758600000000015
31,airfoil,random_forest,split,0.8672294704528012,12.017700000000076
31,airfoil,random_forest,JAW,0.943207981580967,12.181349999999966
32,airfoil,random_forest,naive,0.5019186492709132,4.585500000000025
32,airfoil,random_forest,jackknife,0.886415963161934,11.896199999999993
32,airfoil,random_forest,jackknife+,0.9117421335379893,11.996349999999978
32,airfoil,random_forest,jackknife-mm,0.9808135072908672,16.39790000000002
32,airfoil,random_forest,CV+,0.9386032233307752,13.845800000000011
32,airfoil,random_forest,split,0.896392939370683,15.350900000000053
32,airfoil,random_forest,JAW,0.9125095932463546,12.113449999999958
33,airfoil,random_forest,naive,0.6523407521105142,5.8101999999999805
33,airfoil,random_forest,jackknife,0.9301611665387567,12.545300000000026
33,airfoil,random_forest,jackknife+,0.9378357636224098,12.441225000000031
33,airfoil,random_forest,jackknife-mm,0.9930928626247122,17.10135000000001
33,airfoil,random_forest,CV+,0.9332310053722179,12.081600000000051
33,airfoil,random_forest,split,0.9140445126630852,13.446200000000005
33,airfoil,random_forest,JAW,0.9401381427475057,12.576925000000031
34,airfoil,random_forest,naive,0.5917114351496546,4.796300000000059
34,airfoil,random_forest,jackknife,0.9040675364543361,11.7517
34,airfoil,random_forest,jackknife+,0.9332310053722179,12.203750000000028
34,airfoil,random_forest,jackknife-mm,0.9877206446661551,16.410799999999995
34,airfoil,random_forest,CV+,0.9293937068303914,12.28789999999998
34,airfoil,random_forest,split,0.9140445126630852,13.48950000000005
34,airfoil,random_forest,JAW,0.9370683039140445,12.388800000000018
35,airfoil,random_forest,naive,0.5095932463545664,4.453300000000127
35,airfoil,random_forest,jackknife,0.8902532617037605,11.771399999999971
35,airfoil,random_forest,jackknife+,0.9163468917881811,12.508849999999939
35,airfoil,random_forest,jackknife-mm,0.9785111281657713,15.932050000000004
35,airfoil,random_forest,CV+,0.9232540291634689,13.05312499999998
